Date,Price,Open,High,Low,Vol.,Change %
17-Dec-13,1781,1786.47,1786.77,1777.05,-,-0.31%
16-Dec-13,1786.54,1777.48,1792.22,1777.48,-,0.63%
13-Dec-13,1775.32,1777.98,1780.92,1772.45,-,-0.01%
12-Dec-13,1775.5,1781.71,1782.99,1772.28,-,-0.38%
11-Dec-13,1782.22,1802.76,1802.97,1780.09,-,-1.13%
10-Dec-13,1802.62,1807.6,1808.52,1801.75,-,-0.32%
9-Dec-13,1808.37,1806.21,1811.52,1806.21,-,0.18%
6-Dec-13,1805.09,1788.36,1806.04,1788.36,-,1.12%
5-Dec-13,1785.03,1792.82,1792.82,1783.38,-,-0.43%
4-Dec-13,1792.81,1793.15,1799.8,1779.09,-,-0.13%
3-Dec-13,1795.15,1800.1,1800.1,1787.85,-,-0.32%
2-Dec-13,1800.9,1806.55,1810.02,1798.6,-,-0.27%
29-Nov-13,1805.81,1808.69,1813.55,1803.98,-,-0.08%
27-Nov-13,1807.23,1803.48,1808.27,1802.77,-,0.25%
26-Nov-13,1802.75,1802.87,1808.42,1800.77,-,0.01%
25-Nov-13,1802.48,1806.33,1808.1,1800.58,-,-0.13%
22-Nov-13,1804.76,1797.21,1804.84,1794.7,-,0.50%
21-Nov-13,1795.85,1783.52,1797.16,1783.52,-,0.81%
20-Nov-13,1781.37,1789.59,1795.73,1777.23,-,-0.36%
19-Nov-13,1787.87,1790.79,1795.51,1784.72,-,-0.20%
18-Nov-13,1791.53,1798.82,1802.33,1788,-,-0.37%
15-Nov-13,1798.18,1790.66,1798.22,1790.66,-,0.42%
14-Nov-13,1790.62,1782.75,1791.53,1780.22,-,0.48%
13-Nov-13,1782,1764.37,1782,1760.64,-,0.81%
12-Nov-13,1767.69,1769.51,1771.78,1762.29,-,-0.24%
11-Nov-13,1771.89,1769.96,1773.44,1767.85,-,0.07%
8-Nov-13,1770.61,1748.37,1770.78,1747.63,-,1.34%
7-Nov-13,1747.15,1770.74,1774.54,1746.2,-,-1.32%
6-Nov-13,1770.49,1765,1773.74,1764.4,-,0.43%
5-Nov-13,1762.97,1765.67,1767.03,1755.76,-,-0.28%
4-Nov-13,1767.93,1763.4,1768.78,1761.56,-,0.36%
1-Nov-13,1761.64,1758.7,1765.67,1752.7,-,0.29%
31-Oct-13,1756.54,1763.24,1768.53,1755.72,-,-0.38%
30-Oct-13,1763.31,1772.27,1775.22,1757.24,-,-0.49%
29-Oct-13,1771.95,1762.93,1772.09,1762.93,-,0.56%
28-Oct-13,1762.11,1759.42,1764.99,1757.67,-,0.13%
25-Oct-13,1759.77,1756.01,1759.82,1752.45,-,0.44%
24-Oct-13,1752.07,1747.48,1753.94,1745.5,-,0.33%
23-Oct-13,1746.38,1752.27,1752.27,1740.5,-,-0.47%
22-Oct-13,1754.67,1746.48,1759.33,1746.48,-,0.57%
21-Oct-13,1744.66,1745.2,1747.79,1740.67,-,0.01%
18-Oct-13,1744.5,1736.72,1745.31,1735.74,-,0.65%
17-Oct-13,1733.15,1720.17,1733.45,1714.12,-,0.67%
16-Oct-13,1721.54,1700.49,1721.76,1700.49,-,1.38%
15-Oct-13,1698.06,1709.17,1711.57,1695.93,-,-0.71%
14-Oct-13,1710.14,1699.86,1711.03,1692.13,-,0.41%
11-Oct-13,1703.2,1691.09,1703.44,1688.52,-,0.63%
