Date,Price,Open,High,Low,Vol.,Change %
8-Jul-14,1316,1318.4,1323.5,1316,0.01K,-0.04%
7-Jul-14,1316.5,1319.6,1320.3,1313.2,0.09K,-0.36%
4-Jul-14,1321.3,1321.1,1324,1319.6,-,0.07%
3-Jul-14,1320.4,1327.3,1327.7,1313,0.04K,-0.77%
2-Jul-14,1330.7,1326.8,1330.7,1326.8,0.23K,0.32%
1-Jul-14,1326.4,1326.7,1331.4,1326.2,0.05K,0.35%
30-Jun-14,1321.8,1315.3,1328.7,1311.8,0.74K,0.21%
27-Jun-14,1319,1317.4,1320.9,1313.3,0.63K,0.22%
26-Jun-14,1316.1,1319.6,1319.6,1312.4,0.59K,-0.46%
25-Jun-14,1322.2,1315.3,1323.4,1312,0.29K,0.10%
24-Jun-14,1320.9,1315.6,1325.6,1315.6,0.22K,0.22%
23-Jun-14,1318,1312.3,1316.9,1312.3,0.14K,0.14%
20-Jun-14,1316.2,1321.4,1321.4,1306.8,0.25K,0.19%
19-Jun-14,1313.7,1277.2,1321,1277.2,0.60K,3.25%
18-Jun-14,1272.4,1269.9,1272.7,1267.4,0.14K,0.06%
17-Jun-14,1271.7,1272.8,1272.8,1260.9,0.82K,-0.25%
16-Jun-14,1274.9,1279.8,1283.5,1270.8,0.33K,0.09%
13-Jun-14,1273.7,1272.5,1274.7,1271.3,0.15K,0.01%
12-Jun-14,1273.6,1260,1274.5,1260,0.13K,1.02%
11-Jun-14,1260.8,1259.9,1264.4,1259.1,0.13K,0.08%
10-Jun-14,1259.8,1252.4,1262.3,1251,1.01K,0.50%
9-Jun-14,1253.5,1252.7,1256.1,1251.8,0.10K,0.11%
6-Jun-14,1252.1,1253.4,1256.6,1246.3,0.38K,-0.07%
5-Jun-14,1253,1244,1256.6,1241.2,1.32K,0.72%
4-Jun-14,1244,1245.1,1248.8,1242.7,0.60K,-0.02%
3-Jun-14,1244.3,1244.1,1247.5,1240.5,0.65K,0.05%
2-Jun-14,1243.7,1250,1250.7,1240.9,0.77K,-0.15%
30-May-14,1245.6,1255.1,1259.6,1241.8,3.84K,-0.85%
29-May-14,1256.3,1258.3,1260.6,1250.9,38.05K,-0.24%
28-May-14,1259.3,1259.3,1259.3,1263.6,-,-0.48%
27-May-14,1265.4,1291.9,1291.9,1276,0.03K,-2.10%
26-May-14,1292.5,1291.6,1294.4,1291.4,-,0.06%
25-May-14,1291.7,1293.9,1294.2,1291.1,-,0.01%
23-May-14,1291.6,1293.2,1293.4,1293.2,0.00K,-0.25%
22-May-14,1294.9,1294.2,1295,1294.2,0.00K,0.54%
21-May-14,1288,1287.4,1287.4,1287.4,0.00K,-0.50%
20-May-14,1294.5,1290.7,1290.7,1290.1,0.01K,0.06%
19-May-14,1293.7,1293.7,1293.7,1293.7,0.04K,0.03%
16-May-14,1293.3,1293.3,1293.3,1293.3,0.01K,-0.02%
15-May-14,1293.5,1302.5,1302.5,1292.8,0.03K,-0.93%
14-May-14,1305.7,1292.8,1306.9,1292.8,0.03K,0.86%
13-May-14,1294.6,1295.5,1295.5,1292,0.02K,-0.08%
12-May-14,1295.6,1282.1,1295.9,1281.2,0.02K,0.64%
9-May-14,1287.3,1287.3,1287.3,1287.3,0.00K,-0.01%
8-May-14,1287.4,1291.5,1291.5,1285.5,0.07K,-0.09%
7-May-14,1288.6,1310.3,1312,1288,0.02K,-1.51%
6-May-14,1308.3,1309.4,1309.4,1306.9,0.01K,-0.05%
5-May-14,1309,1305.6,1314.2,1305.5,0.03K,0.49%
2-May-14,1302.6,1276.7,1302.7,1276.7,0.09K,1.52%
1-May-14,1283.1,1288.7,1288.7,1278,0.03K,-0.96%
30-Apr-14,1295.6,1296,1296.5,1286.6,0.18K,-0.03%
29-Apr-14,1296,1295.5,1300.5,1289.1,0.90K,-0.22%
28-Apr-14,1298.9,1305.4,1305.4,1293,0.06K,-0.14%
25-Apr-14,1300.7,1293.8,1304.6,1293.8,0.27K,0.79%
24-Apr-14,1290.5,1284.6,1297.9,1272.4,0.52K,0.49%
23-Apr-14,1284.2,1284.3,1287.7,1282.4,0.18K,0.28%
22-Apr-14,1280.6,1289.2,1291.6,1276,0.10K,-0.57%
21-Apr-14,1288,1290,1299.2,1283.7,0.10K,-0.42%
17-Apr-14,1293.4,1300.1,1303,1292.5,0.12K,-0.74%
16-Apr-14,1303.1,1302.7,1304,1295,0.18K,0.24%
15-Apr-14,1300,1322.7,1322.7,1291.5,0.24K,-2.05%
14-Apr-14,1327.2,1320.1,1330,1320.1,0.33K,0.64%
11-Apr-14,1318.7,1319,1322.8,1316.3,0.08K,-0.11%
10-Apr-14,1320.1,1311.8,1323.8,1311.2,0.13K,1.12%
9-Apr-14,1305.5,1309.5,1313.6,1301.1,0.19K,-0.24%
8-Apr-14,1308.7,1296.6,1314.1,1296.6,0.26K,0.82%
7-Apr-14,1298,1301.4,1304,1296.3,0.36K,-0.40%
4-Apr-14,1303.2,1285.5,1306.1,1284.4,0.98K,1.46%
3-Apr-14,1284.4,1290.8,1293.6,1282.7,0.78K,-0.47%
2-Apr-14,1290.5,1280.2,1294.1,1280.2,1.10K,0.85%
1-Apr-14,1279.6,1285.1,1287.9,1277.3,0.88K,-0.30%
31-Mar-14,1283.4,1294.3,1298.8,1282.4,4.12K,-0.80%
28-Mar-14,1293.8,1292.2,1299.4,1285.9,65.49K,-0.07%
27-Mar-14,1294.7,1294.7,1294.7,1294.7,-,-0.67%
26-Mar-14,1303.4,1315.2,1315.2,1311.8,0.00K,-0.61%
25-Mar-14,1311.4,1315.5,1315.5,1307.5,0.05K,0.02%
24-Mar-14,1311.2,1333,1333,1310.5,0.10K,-1.86%
21-Mar-14,1336,1339.1,1339.1,1335,0.00K,0.41%
20-Mar-14,1330.5,1333.7,1333.7,1325.8,0.07K,-0.81%
19-Mar-14,1341.4,1357.1,1358,1332.7,0.06K,-1.30%
18-Mar-14,1359,1359.3,1361.8,1353.4,0.04K,-1.01%
17-Mar-14,1372.9,1386.1,1391.4,1372.2,0.03K,-0.44%
14-Mar-14,1379,1376.1,1386.6,1369.8,0.09K,0.50%
13-Mar-14,1372.2,1366.8,1374.5,1366.5,0.02K,0.14%
12-Mar-14,1370.3,1349.1,1370.5,1348.7,0.06K,1.77%
11-Mar-14,1346.5,1340,1352.4,1338.1,0.05K,0.38%
10-Mar-14,1341.4,1336,1344.7,1330.5,0.10K,0.25%
7-Mar-14,1338.1,1349.5,1352.7,1329.2,0.10K,-1.01%
6-Mar-14,1351.7,1338,1351.6,1333.3,0.06K,0.86%
5-Mar-14,1340.2,1334.8,1341,1334.8,0.03K,0.18%
4-Mar-14,1337.8,1350.4,1350.4,1332.2,0.08K,-0.91%
3-Mar-14,1350.1,1335.9,1354.1,1332.9,0.23K,2.17%
28-Feb-14,1321.4,1329.8,1332.6,1321.1,0.24K,-0.77%
27-Feb-14,1331.6,1329.3,1335,1324.6,0.37K,0.26%
26-Feb-14,1328.2,1341.2,1344,1325.6,0.06K,-1.10%
25-Feb-14,1343,1336.4,1343.9,1333.1,0.29K,0.35%
24-Feb-14,1338.3,1324.3,1339,1321.4,0.09K,1.09%
21-Feb-14,1323.9,1320,1328.3,1317.4,0.17K,0.52%
20-Feb-14,1317.1,1310.7,1323.5,1309.6,0.12K,-0.27%
19-Feb-14,1320.6,1318.3,1321.6,1309.1,0.19K,-0.31%
18-Feb-14,1324.7,1322.9,1330.6,1313.9,0.37K,-0.29%
17-Feb-14,1328.5,1323.7,1332.2,1321.1,-,0.72%
14-Feb-14,1319,1301.7,1320.7,1301.5,0.31K,1.43%
13-Feb-14,1300.4,1293.3,1303.5,1287.5,0.88K,0.39%
12-Feb-14,1295.3,1290.5,1296.2,1285.5,0.14K,0.40%
11-Feb-14,1290.1,1274,1292,1273.8,0.56K,1.20%
10-Feb-14,1274.8,1269.6,1277.3,1265.7,0.74K,0.91%
7-Feb-14,1263.3,1258.3,1271.4,1257.9,0.44K,0.45%
6-Feb-14,1257.6,1258,1267,1253.5,0.27K,0.02%
5-Feb-14,1257.3,1254,1273.7,1253.1,1.62K,0.45%
4-Feb-14,1251.7,1258.4,1260.7,1247.8,1.75K,-0.69%
3-Feb-14,1260.4,1242.4,1266.3,1241.2,2.91K,1.64%
31-Jan-14,1240.1,1243.6,1254.5,1238.4,5.82K,-0.17%
30-Jan-14,1242.2,1267,1267.7,1237.5,45.28K,-1.58%
29-Jan-14,1262.2,1262.2,1262.2,1262.2,-,0.90%
28-Jan-14,1251,1257.9,1258.4,1257.9,0.02K,-1.00%
27-Jan-14,1263.6,1259.8,1264.4,1254.4,0.09K,-0.07%
24-Jan-14,1264.5,1258.3,1269.4,1258.3,0.04K,0.15%
23-Jan-14,1262.6,1235.2,1264.2,1235.2,0.04K,1.90%
22-Jan-14,1239,1241.7,1242,1240.1,0.06K,-0.27%
21-Jan-14,1242.3,1256.4,1257.5,1240,0.22K,-1.02%
20-Jan-14,1255.1,1255.7,1257.9,1253.1,-,0.27%
17-Jan-14,1251.7,1239.7,1254.3,1239.7,0.10K,0.94%
16-Jan-14,1240,1239.3,1242.8,1238.7,0.05K,0.15%
15-Jan-14,1238.1,1243.1,1243.2,1238.2,0.07K,-0.57%
14-Jan-14,1245.2,1251,1251.3,1242,0.04K,-0.46%
13-Jan-14,1250.9,1250.6,1252.7,1245.5,0.05K,0.34%
10-Jan-14,1246.7,1235,1246.8,1234,0.06K,1.42%
9-Jan-14,1229.3,1225.8,1229,1225.8,0.01K,0.33%
8-Jan-14,1225.3,1227.5,1227.5,1218.6,0.19K,-0.33%
7-Jan-14,1229.4,1239.3,1242.4,1226,0.07K,-0.68%
6-Jan-14,1237.8,1232.8,1247,1221.9,0.13K,-0.05%
3-Jan-14,1238.4,1221.7,1239,1221.7,0.14K,1.09%
2-Jan-14,1225,1204.3,1227.3,1204.3,0.21K,1.63%
1-Jan-14,1205.4,1203.6,1205.4,1202.8,-,0.29%
31-Dec-13,1201.9,1196.4,1212.4,1182,0.12K,-0.10%
30-Dec-13,1203.1,1215,1215.5,1194.4,0.35K,-1.07%
27-Dec-13,1216.1,1213.4,1218.5,1212.9,0.28K,0.16%
26-Dec-13,1214.1,1207.1,1215.9,1207.1,0.14K,0.75%
24-Dec-13,1205.1,1199.8,1205.6,1197.7,0.18K,0.56%
23-Dec-13,1198.4,1205.2,1205.2,1195.9,0.12K,-0.56%
20-Dec-13,1205.1,1190.9,1207.8,1190.9,0.20K,0.85%
19-Dec-13,1195,1226.6,1226.6,1188.7,0.12K,-3.32%
